Device,Plant,Truss,Total_flowers,Budding,Transition_B_to_O,Open,Closed,Setting,Broken_Sets,Test_Day
1,1,101,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1
1,1,201,12.0,10.0,2.0,0.0,0.0,0.0,0.0,1
1,2,101,10.0,8.0,2.0,0.0,0.0,0.0,0.0,1
1,2,201,11.0,7.0,4.0,0.0,0.0,0.0,0.0,1
1,3,101,12.0,7.0,5.0,0.0,0.0,0.0,0.0,1
1,3,201,12.0,9.0,3.0,0.0,0.0,0.0,0.0,1
1,4,101,13.0,9.0,4.0,0.0,0.0,0.0,0.0,1
1,4,201,13.0,10.0,3.0,0.0,0.0,0.0,0.0,1
1,5,101,12.0,8.0,4.0,0.0,0.0,0.0,0.0,1
1,5,201,24.0,21.0,3.0,0.0,0.0,0.0,0.0,1
1,6,101,13.0,9.0,4.0,0.0,0.0,0.0,0.0,1
1,6,201,20.0,14.0,6.0,0.0,0.0,0.0,0.0,1
1,7,101,19.0,19.0,0.0,0.0,0.0,0.0,0.0,1
1,7,201,24.0,20.0,4.0,0.0,0.0,0.0,0.0,1
1,8,101,14.0,11.0,3.0,0.0,0.0,0.0,0.0,1
1,8,201,15.0,12.0,3.0,0.0,0.0,0.0,0.0,1
1,9,101,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1
1,9,201,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1
1,10,201,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1
1,10,101,7.0,4.0,3.0,0.0,0.0,0.0,0.0,1
1,11,201,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1
1,11,101,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1
1,12,101,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1
1,12,201,7.0,5.0,2.0,0.0,0.0,0.0,0.0,1
1,13,101,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1
1,13,201,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1
1,14,101,6.0,3.0,3.0,0.0,0.0,0.0,0.0,1
